,A,B,text,target,stem
20,2,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَى شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,21,"['شياطي', 'آمن', 'آمنو', 'إذا', 'خل', 'قو', 'مستهزئ']"
21,2,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,22,"['مد', 'هم', 'عمه', 'له', 'يستهزئ', 'طغيا']"
22,2,16,أُولَئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَى فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,23,"['مهتد', 'شتر', 'ربح', 'ضلال', 'أولئك', 'تجار', 'هدى']"
23,2,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَّا يُبْصِرُونَ,24,"['نور', 'مثل', 'ذهب', 'ظلم', 'نار', 'ستوقد', 'له', 'بصر', 'رك', 'ضاء']"
24,2,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,25,"['عم', 'بكم', 'رجع', 'صم']"
25,2,19,أَوْ كَصَيِّبٍ مِّنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,26,"['سماء', 'صابع', 'آذا', 'ظلم', 'جعل', 'حذر', 'له', 'كافر', 'رق', 'رعد', 'موت', 'محيط', 'صيب', 'صواعق']"
26,2,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ كُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ إِنَّ اللَّهَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ,27,"['قام', 'مش', 'شاء', 'لو', 'ذهب', 'برق', 'كلما', 'سمع', 'ظلم', 'بصار', 'إذا', 'قدير', 'له', 'كاد', 'خطف', 'شيء', 'ضاء', 'صار']"
27,2,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,28,"['خلق', 'قبل', 'ناس', 'عبد', 'رب', 'تق']"
28,2,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّكُمْ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,29,"['ثمر', 'راش', 'لا', 'نزل', 'له', 'علم', 'رزق', 'جعل', 'أرض', 'خرج', 'ناء', 'سماء', 'نداد', 'ماء', 'جعل', 'سماء']"
29,2,23,وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَى عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَكُم مِّن دُونِ اللَّهِ إِن كُنتُمْ صَادِقِينَ,30,"['شهداء', 'صادق', 'توا', 'دون', 'سور', 'عبد', 'دع', 'ريب', 'له', 'زل', 'مثل']"
30,2,24,فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ أُعِدَّتْ لِلْكَافِرِينَ,31,"['تق', 'فعل', 'التي', 'ناس', 'لم', 'عد', 'نار', 'حجار', 'كافر', 'قود']"
31,2,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ كُلَّمَا رُزِقُوا مِنْهَا مِن ثَمَرَةٍ رِّزْقًا قَالُوا هَذَا الَّذِي رُزِقْنَا مِن قَبْلُ وَأُتُوا بِهِ مُتَشَابِهًا وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ وَهُمْ فِيهَا خَالِدُونَ,32,"['صالح', 'آمنو', 'رزق', 'زواج', 'كلما', 'رزق', 'متشاب', 'شر', 'توا', 'من', 'خالد', 'رزق', 'مطهر', 'جن', 'عمل', 'أنهار', 'جر', 'ثمر']"
32,2,52,ثُمَّ عَفَوْنَا عَنكُم مِّن بَعْدِ ذَلِكَ لَعَلَّكُمْ تَشْكُرُونَ,59,"['عف', 'بعد', 'عن', 'شكر']"
33,2,53,وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ,60,"['آت', 'موسى', 'إذ', 'كتاب', 'هتد', 'فرق']"
34,2,163,وَإِلَهُكُمْ إِلَهٌ وَاحِدٌ لَّا إِلَهَ إِلَّا هُوَ الرَّحْمَنُ الرَّحِيمُ,170,"['رحمن', 'إل', 'إله', 'حد', 'رحيم']"
35,2,26,إِنَّ اللَّهَ لَا يَسْتَحْيِي أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَذَا مَثَلًا يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,33,"['علم', 'أما', 'فروا', 'آمنو', 'يستحي', 'ضرب', 'فوق', 'هذا', 'فاسق', 'هدي', 'قول', 'ماذا', 'رب', 'عوض', 'له', 'حق', 'ضل', 'راد']"
36,2,27,الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ أُولَئِكَ هُمُ الْخَاسِرُونَ,34,"['فسد', 'قطع', 'مر', 'نقض', 'أرض', 'بعد', 'ميثاق', 'له', 'خاسر', 'أولئك', 'عهد', 'وصل']"
37,2,28,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,35,"['رجع', 'حيا', 'كفر', 'ميت', 'موات', 'له', 'نتم', 'حيي', 'كيف']"
38,2,29,هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَى إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,36,"['ستوى', 'سماو', 'سبع', 'كل', 'سو', 'خلق', 'أرض', 'عليم', 'هو', 'شيء', 'سماء']"
39,2,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً قَالُوا أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,37,"['فسد', 'دماء', 'جعل', 'حمد', 'قدس', 'سف', 'جاعل', 'علم', 'ملائك', 'رب', 'أرض', 'سبح', 'إذ', 'علم', 'خليف']"
40,2,31,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاءِ هَؤُلَاءِ إِن كُنتُمْ صَادِقِينَ,38,"['أسماء', 'صادق', 'أسماء', 'قال', 'نبئ', 'آدم', 'عرض', 'علم', 'ملائك']"
41,2,32,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ,39,"['عليم', 'علم', 'علم', 'حكيم', 'أنت', 'سبحان']"
42,2,33,قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَائِهِمْ فَلَمَّا أَنبَأَهُم بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,40,"['لم', 'أسمائ', 'غيب', 'كتم', 'أقل', 'آدم', 'بد', 'سماو', 'أرض', 'نبأ', 'نبئ', 'علم', 'علم']"
43,2,34,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَى وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,41,"['سجد', 'آدم', 'كافر', 'ستكبر', 'بى', 'سجد', 'ملائك', 'إذ', 'إبليس']"
44,2,35,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,42,"['سك', 'جن', 'من', 'هذه', 'ظالم', 'رغد', 'آدم', 'زوج', 'شجر', 'حيث', 'كلا', 'شئ', 'أنت', 'قرب', 'قل']"
45,2,36,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَى حِينٍ,43,"['متاع', 'زل', 'مستقر', 'خرج', 'لكم', 'عد', 'شيط', 'أرض', 'هبط', 'قل', 'انا']"
46,2,37,فَتَلَقَّى آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,44,"['لم', 'على', 'تاب', 'رب', 'لقى', 'آدم', 'تواب', 'رحيم']"
47,2,38,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,45,"['هد', 'أتي', 'حزن', 'بع', 'خوف', 'من', 'لا', 'من', 'من', 'هدى', 'هبط']"
48,2,39,وَالَّذِينَ كَفَرُوا وَكَذَّبُوا بِآيَاتِنَا أُولَئِكَ أَصْحَابُ النَّارِ هُمْ فِيهَا خَالِدُونَ,46,"['فروا', 'آيات', 'ذبوا', 'خالد', 'صحاب', 'نار', 'أولئك']"
49,2,40,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ,47,"['عمتي', 'وفوا', 'التي', 'إياي', 'عهد', 'وف', 'نعم', 'ذكر', 'عهد', 'إسرائيل', 'رهبو']"
50,2,41,وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ,48,"['شتر', 'مصدق', 'آيات', 'افر', 'قليل', 'لما', 'إياي', 'تقو', 'نزل', 'آمنو', 'ثم']"
51,2,42,وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ,49,"['لبس', 'باطل', 'علم', 'حق', 'كتم']"
52,2,43,وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ,50,"['ركع', 'صلا', 'راكع', 'زكا', 'آتو', 'مع', 'أقيم']"
53,2,44,أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ أَفَلَا تَعْقِلُونَ,51,"['نفس', 'ناس', 'عقل', 'لا', 'نس', 'كتاب', 'بر', 'أمر', 'تل']"
54,2,45,وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ,52,"['صلا', 'كبير', 'صبر', 'إن', 'ستعين', 'خاشع']"
55,2,46,الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ,53,"['أن', 'ملاق', 'راجع', 'أن', 'ظن', 'رب']"
56,2,47,يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ,54,"['أن', 'عمتي', 'التي', 'ضل', 'عالم', 'نعم', 'ذكر', 'إسرائيل']"
57,2,48,وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,55,"['نصر', 'من', 'ؤخذ', 'قبل', 'عدل', 'شفاع', 'شيئ', 'نفس', 'تق', 'جز', 'وم']"
58,2,49,وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ وَفِي ذَلِكُم بَلَاءٌ مِّن رَّبِّكُمْ عَظِيمٌ,56,"['جينا', 'سوء', 'عظيم', 'آل', 'ذبح', 'ستحي', 'إذ', 'رع', 'ساء', 'عذاب', 'ذلكم', 'لاء', 'ناء', 'سوم', 'رب', 'في']"
59,2,50,وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ,57,"['بكم', 'آل', 'غرق', 'بحر', 'أنجي', 'إذ', 'رع', 'رق', 'نظر']"
60,2,51,وَإِذْ وَاعَدْنَا مُوسَى أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِن بَعْدِهِ وَأَنتُمْ ظَالِمُونَ,58,"['يل', 'ظالم', 'ربع', 'عد', 'إذ', 'موسى', 'بعد', 'اتخذ', 'عجل']"
61,15,95,إِنَّا كَفَيْنَاكَ الْمُسْتَهْزِئِينَ,1897,"['فينا', 'مستهزئ']"
62,2,54,وَإِذْ قَالَ مُوسَى لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُوا إِلَى بَارِئِكُمْ فَاقْتُلُوا أَنفُسَكُمْ ذَلِكُمْ خَيْرٌ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,61,"['قوم', 'قتل', 'خير', 'تاب', 'اتخاذ', 'نفس', 'تواب', 'قوم', 'ظلم', 'ارئ', 'ذلكم', 'إذ', 'موسى', 'عجل', 'وب', 'إن', 'رحيم']"
63,2,55,وَإِذْ قُلْتُمْ يَا مُوسَى لَن نُّؤْمِنَ لَكَ حَتَّى نَرَى اللَّهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنتُمْ تَنظُرُونَ,62,"['قل', 'أخذ', 'إذ', 'له', 'موسى', 'رى', 'صاعق', 'جهر', 'نظر', 'ؤم']"
64,2,56,ثُمَّ بَعَثْنَاكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ,63,"['بعد', 'عثنا', 'شكر', 'مو']"
65,2,57,وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَى كُلُوا مِن طَيِّبَاتِ مَا رَزَقْنَاكُمْ وَمَا ظَلَمُونَا وَلَكِن كَانُوا أَنفُسَهُمْ يَظْلِمُونَ,64,"['نزل', 'ظلم', 'طيب', 'نفس', 'لكن', 'غمام', 'لوا', 'من', 'سلوى', 'رزق', 'ظلم', 'ظلل']"
66,2,58,وَإِذْ قُلْنَا ادْخُلُوا هَذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَايَاكُمْ وَسَنَزِيدُ الْمُحْسِنِينَ,65,"['محسن', 'حط', 'غفر', 'دخل', 'من', 'خطايا', 'رغد', 'قر', 'سجد', 'إذ', 'لوا', 'حيث', 'زيد', 'باب', 'دخل', 'شئ', 'هذه', 'قول']"
67,2,59,فَبَدَّلَ الَّذِينَ ظَلَمُوا قَوْلًا غَيْرَ الَّذِي قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى الَّذِينَ ظَلَمُوا رِجْزًا مِّنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ,66,"['دل', 'نزل', 'ظلم', 'رجز', 'قيل', 'فسق', 'قول', 'سماء']"
68,2,60,وَإِذِ اسْتَسْقَى مُوسَى لِقَوْمِهِ فَقُلْنَا اضْرِب بِّعَصَاكَ الْحَجَرَ فَانفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا قَدْ عَلِمَ كُلُّ أُنَاسٍ مَّشْرَبَهُمْ كُلُوا وَاشْرَبُوا مِن رِّزْقِ اللَّهِ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ,67,"['قوم', 'قل', 'علم', 'عصا', 'أرض', 'حجر', 'عي', 'من', 'عشر', 'مفسد', 'ناس', 'مشرب', 'شرب', 'ضرب', 'عث', 'انفجر', 'موسى', 'ثنت', 'ستسقى', 'إذ', 'له', 'لوا', 'رزق']"
69,2,61,وَإِذْ قُلْتُمْ يَا مُوسَى لَن نَّصْبِرَ عَلَى طَعَامٍ وَاحِدٍ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنبِتُ الْأَرْضُ مِن بَقْلِهَا وَقِثَّائِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا قَالَ أَتَسْتَبْدِلُونَ الَّذِي هُوَ أَدْنَى بِالَّذِي هُوَ خَيْرٌ اهْبِطُوا مِصْرًا فَإِنَّ لَكُم مَّا سَأَلْتُمْ وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ وَالْمَسْكَنَةُ وَبَاءُوا بِغَضَبٍ مِّنَ اللَّهِ ذَلِكَ بِأَنَّهُمْ كَانُوا يَكْفُرُونَ بِآيَاتِ اللَّهِ وَيَقْتُلُونَ النَّبِيِّينَ بِغَيْرِ الْحَقِّ ذَلِكَ بِمَا عَصَوا وَّكَانُوا يَعْتَدُونَ,68,"['كفر', 'الذي', 'ضرب', 'دنى', 'طعام', 'تستبدل', 'خرج', 'قل', 'أرض', 'صل', 'مسكن', 'قتل', 'أن', 'مصر', 'عتد', 'هبط', 'غضب', 'قثائ', 'خير', 'عص', 'لتم', 'غير', 'عدس', 'موسى', 'دع', 'رب', 'ذل', 'نبي', 'قل', 'آي', 'نبت', 'إذ', 'فوم', 'اءوا', 'له', 'حق', 'حد', 'صبر']"
70,2,62,إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَادُوا وَالنَّصَارَى وَالصَّابِئِينَ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَعَمِلَ صَالِحًا فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,69,"['حزن', 'هاد', 'آمن', 'آمنو', 'خوف', 'هم', 'صالح', 'له', 'صابئ', 'عمل', 'رب', 'آخر', 'يوم', 'جر', 'نصارى']"
71,2,63,وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ خُذُوا مَا آتَيْنَاكُم بِقُوَّةٍ وَاذْكُرُوا مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَ,70,"['ميثاق', 'ذكر', 'فوق', 'آتين', 'رفع', 'إذ', 'طور', 'خذ', 'قو', 'خذ', 'تق']"
72,2,64,ثُمَّ تَوَلَّيْتُم مِّن بَعْدِ ذَلِكَ فَلَوْلَا فَضْلُ اللَّهِ عَلَيْكُمْ وَرَحْمَتُهُ لَكُنتُم مِّنَ الْخَاسِرِينَ,71,"['ضل', 'لولا', 'تولي', 'خاسر', 'كن', 'بعد', 'له', 'رحم']"
73,2,65,وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَوْا مِنكُمْ فِي السَّبْتِ فَقُلْنَا لَهُمْ كُونُوا قِرَدَةً خَاسِئِينَ,72,"['قل', 'ونوا', 'سبت', 'قد', 'عتد', 'قرد', 'علم', 'خاسئ']"
74,2,66,فَجَعَلْنَاهَا نَكَالًا لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِينَ,73,"['خلف', 'دي', 'موعظ', 'كالا', 'جعل', 'متق', 'لما']"
75,2,67,وَإِذْ قَالَ مُوسَى لِقَوْمِهِ إِنَّ اللَّهَ يَأْمُرُكُمْ أَن تَذْبَحُوا بَقَرَةً قَالُوا أَتَتَّخِذُنَا هُزُوًا قَالَ أَعُوذُ بِاللَّهِ أَنْ أَكُونَ مِنَ الْجَاهِلِينَ,74,"['قر', 'قوم', 'كو', 'تخذ', 'هز', 'عوذ', 'أمر', 'له', 'جاهل', 'إذ', 'له', 'ذبح', 'موسى']"
